HymnNumber,Title,Tune,PrintedStanzaCount,VerificationStatus,VerificationSource,VerifiedBy,VerifiedDate,ReviewNote
331,The Advent of Our King,ST. THOMAS,,PENDING,,,,
332,"Savior of the Nations, Come","NUN KOMM, DER HEIDEN HEILAND",,PENDING,,,,
333,Once He Came in Blessing,GOTTES SOHN IST KOMMEN,,PENDING,,,,
334,"O Lord, How Shall I Meet You",WIE SOLL ICH DICH EMPFANGEN,,PENDING,,,,
335,"O Bride of Christ, Rejoice",WO SOLL ICH FLIEHEN HIN,,PENDING,,,,
336,Lo! He Comes with Clouds Descending,HELMSLEY,,PENDING,,,,
337,The Night Will Soon Be Ending,LLANGLOFFAN,,PENDING,,,,
338,"Come, Thou Long-Expected Jesus",JEFFERSON,,PENDING,,,,
339,"Lift Up Your Heads, You Everlasting Doors",CONRAD,,PENDING,,,,
340,"Lift Up Your Heads, Ye Mighty Gates",MACHT HOCH DIE TÜR,,PENDING,,,,
341,"Lift Up Your Heads, Ye Mighty Gates",MILWAUKEE,,PENDING,,,,
342,What Hope! An Eden Prophesied,CONSOLATION,,PENDING,,,,
343,Prepare the Royal Highway,BEREDEN VÄG FÖR HERRAN,,PENDING,,,,
344,On Jordan's Bank the Baptist's Cry,PUER NOBIS,,PENDING,,,,
345,Hark! A Thrilling Voice Is Sounding,MERTON,,PENDING,,,,
346,When All the World Was Cursed,WAS FRAG ICH NACH DER WELT,,PENDING,,,,
347,"Comfort, Comfort Ye My People",FREU DICH SEHR,,PENDING,,,,
348,The King Shall Come When Morning Dawns,CONSOLATION,,PENDING,,,,
349,Hark the Glad Sound,CHESTERFIELD,,PENDING,,,,
350,"Come, Thou Precious Ransom, Come",MEINEN JESUM LASS' ICH NICHT (DARMSTADT),,PENDING,,,,
351,Creator of the Stars of Night,CONDITOR ALME SIDERUM,,PENDING,,,,
352,Let the Earth Now Praise the Lord,"NUN KOMM, DER HEIDEN HEILAND",,PENDING,,,,
353,"Jesus Came, the Heavens Adoring","SIEH, HIER BIN ICH",,PENDING,,,,
354,"Arise, O Christian People",AUS MEINES HERZENS GRUNDE,,PENDING,,,,
355,"O Savior, Rend the Heavens Wide","O HEILAND, REISS DIE HIMMEL AUF",,PENDING,,,,
356,The Angel Gabriel from Heaven Came,GABRIEL'S MESSAGE,,PENDING,,,,
357,"O Come, O Come, Emmanuel",VENI EMMANUEL,,PENDING,,,,
358,From Heaven Above to Earth I Come,VOM HIMMEL HOCH,,PENDING,,,,
359,"Lo, How a Rose E'er Blooming",ES IST EIN ROS (Rhythmic),,PENDING,,,,
360,All My Heart Again Rejoices,FROHLICH SOLL MEIN HERZE SPRINGEN,,PENDING,,,,
361,O Little Town of Bethlehem,ST. LOUIS,,PENDING,,,,
362,O Sing of Christ,FOREST GREEN,,PENDING,,,,
363,"Silent Night, Holy Night",STILLE NACHT,,PENDING,,,,
364,Away in a Manger,AWAY IN A MANGER,,PENDING,,,,
365,Away in a Manger,CRADLE SONG,,PENDING,,,,
366,It Came Upon the Midnight Clear,CAROL,,PENDING,,,,
367,Angels from the Realms of Glory,REGENT SQUARE,,PENDING,,,,
368,Angels We Have Heard on High,GLORIA,,PENDING,,,,
